,sentiment
4818,1
10023,2
22773,2
19114,1
13928,2
6022,2
5134,1
6975,1
19128,1
14100,2
22368,1
18554,2
11750,2
23335,1
10815,1
7521,1
19408,1
3626,1
14774,1
2500,1
23475,2
5043,1
23202,1
4662,2
8671,2
13395,2
12803,2
1548,1
1704,1
20123,2
6676,1
20858,2
5619,1
5941,2
1840,2
6912,1
20335,2
23761,1
13375,2
15834,1
2573,2
11207,2
5413,1
16071,1
21271,1
8201,1
902,2
13665,2
14366,1
8083,1
14570,1
18005,1
10165,2
2749,2
8573,1
22577,2
1919,1
16945,1
17834,2
23785,2
12618,1
12991,1
24161,2
2271,1
14175,1
4472,1
3017,2
24578,1
3671,1
14933,1
6234,2
1715,1
11866,2
15812,1
8002,1
23901,2
22681,2
24309,2
16806,1
4956,2
12620,2
6853,1
7745,1
1104,1
7420,2
885,2
8948,1
205,1
8727,2
22447,2
7968,2
13205,2
14105,1
4140,1
3490,1
16877,2
20880,2
9579,1
8441,2
2968,2
14421,2
8912,1
23594,2
16654,1
23019,2
6689,1
17049,1
23484,2
5835,2
21848,2
8489,2
21419,1
16078,1
11534,2
319,2
10049,2
1019,2
23441,1
21360,2
19336,2
3255,1
20784,1
5614,2
4212,1
17032,1
23576,2
5215,1
10250,1
5042,1
13745,1
10007,1
24229,2
3903,1
6979,1
16209,2
1992,2
2152,1
2806,1
8319,2
1587,1
11668,2
8958,2
4382,2
15626,1
22812,1
9190,1
22726,1
21504,1
16109,2
16213,1
4985,2
120,2
10577,2
21887,2
13124,1
20259,1
20541,1
3791,2
11334,2
12560,1
1257,1
19614,2
14369,1
24265,2
8415,1
16694,1
23469,2
13800,1
2563,1
16842,2
5205,1
10113,2
2609,1
18292,2
24522,1
9675,1
17502,1
13438,1
17810,2
17914,2
5173,1
21217,1
6595,2
3248,1
8512,2
19755,2
2896,2
18970,1
17753,2
1056,2
5029,2
23874,2
11586,2
1591,1
15268,1
6096,1
16914,1
18199,1
23227,2
17809,1
12223,2
12798,2
4767,2
19405,2
18815,2
3190,2
21213,2
1400,1
13359,1
22282,1
295,2
7534,2
21184,2
14642,1
10484,1
6674,1
204,2
3013,1
17025,2
12839,2
17206,2
7913,1
6177,2
14900,1
417,1
19661,2
14118,1
23570,2
9799,1
16513,1
10726,2
7833,2
6093,1
24721,1
23837,2
17030,2
2458,2
17601,1
10571,1
14309,2
19420,2
14748,2
9892,1
13289,1
13963,1
14127,2
10249,1
19589,1
8350,1
9290,2
3233,1
6861,2
8210,2
23898,1
7962,2
17783,1
13885,2
16706,2
6621,2
8802,2
11919,1
20597,2
12301,2
21256,2
20000,2
9336,1
23445,2
8110,1
23234,1
23704,2
9704,2
16093,1
12972,2
6002,2
2597,2
8381,1
16372,2
4444,2
7430,1
17677,1
14340,1
20855,2
1091,1
552,1
14769,2
16466,2
23283,2
14925,1
15027,1
3947,1
599,2
13404,2
23238,2
2404,2
5816,2
22089,2
14946,1
13152,2
22552,1
8712,1
22540,1
22394,1
14507,1
5249,2
2824,1
7959,1
1671,2
14081,1
9923,2
18402,2
11066,2
20788,1
5607,1
17412,2
8291,2
13707,2
24177,1
19529,2
24240,2
13677,2
15234,1
15863,2
7368,1
15442,1
23563,1
17381,2
11172,2
16265,2
18462,2
18754,1
17587,2
19763,1
23860,1
6075,1
24599,2
773,1
9743,2
23159,1
19635,2
7546,1
17536,2
14549,2
18924,2
16756,2
11469,1
188,2
6018,1
7840,2
15259,2
8876,2
2142,1
12082,2
24606,2
16076,1
19088,1
19270,2
8596,2
20585,2
1864,2
10114,1
12930,1
16941,1
13479,2
22830,1
13850,2
21502,2
16754,2
10992,1
755,2
23625,2
24499,1
19859,1
7188,2
1522,2
2336,1
17975,1
6283,2
18042,1
18142,1
5896,2
24332,2
23657,2
5390,1
11508,2
12002,1
20906,2
1633,2
11467,1
1263,2
3342,1
4520,2
11910,2
7871,2
21729,1
6385,1
9095,1
18100,2
9004,1
5094,1
2218,2
11217,2
4879,2
11488,1
17906,1
24281,2
17966,2
23294,1
19155,2
10739,2
956,1
8650,2
7864,2
23099,2
5238,1
19376,1
4949,1
22808,1
9019,2
1027,1
2543,2
9419,2
19703,2
24255,1
10289,2
23468,1
20636,2
14036,1
21657,2
11881,1
20480,1
15732,2
1297,2
21675,2
1037,1
13346,2
1224,1
3075,2
12132,2
18618,1
19104,2
9507,2
11925,1
10513,2
15513,1
14151,1
5662,2
6319,2
19998,2
7392,2
23109,1
9266,1
10193,2
2895,2
20243,1
18218,1
20360,2
5013,2
13857,2
12008,2
18109,1
21345,2
8233,2
13551,2
1151,2
11324,1
21498,1
23891,1
11253,2
9532,1
11674,2
6991,1
8505,1
20214,1
16990,1
15709,2
1378,1
9564,1
7928,1
17580,1
10356,1
19850,1
13414,2
3529,1
12237,1
2975,1
10510,2
22810,1
915,2
5545,2
18697,1
18642,2
5832,1
13018,2
2804,2
20726,1
5019,2
23440,1
6107,2
791,1
18333,2
21122,2
16959,2
2679,1
15089,1
1940,2
4769,2
23272,1
24505,1
3901,1
2226,2
19520,1
12744,2
1121,1
22287,1
6405,2
183,2
6154,2
13505,1
2135,2
21335,2
5843,1
7703,2
18582,1
6933,2
1947,2
4335,1
14688,2
17434,1
22485,1
11079,1
13139,1
10364,1
17404,2
6187,1
4861,2
14780,2
18350,1
8915,2
22266,2
22610,1
14074,1
4902,2
7198,1
16389,2
17817,1
9241,2
23915,2
11166,2
3797,1
683,2
9995,1
13537,2
20455,1
20658,1
12862,1
11954,1
4287,2
12748,2
14208,2
11489,1
15392,2
20328,1
8608,1
22822,1
8556,2
4176,2
6194,1
486,2
24014,2
3858,1
22516,1
19033,1
16662,1
9811,2
17988,1
3124,1
23775,1
18927,2
24601,1
11400,1
3662,2
22433,1
8987,1
6634,2
16641,2
4454,2
15622,1
518,1
6355,1
6105,2
17765,1
24021,1
23982,2
4355,2
16727,1
247,1
23240,2
6898,1
6485,1
12788,1
17546,2
2332,2
10465,2
22653,1
14632,2
8395,1
22403,1
12315,2
13319,1
12340,1
24740,2
9832,2
13610,1
17348,1
6748,1
19770,1
4528,2
10712,2
598,1
24373,1
11567,2
2159,2
20898,2
18769,1
14353,1
3324,1
11263,1
16561,2
21262,2
15927,2
7810,1
14960,1
5147,2
1624,1
239,2
14128,1
10368,2
16634,1
8753,1
7072,2
5485,1
9326,1
49,1
7018,2
6143,1
10750,1
6081,1
4661,2
20918,2
20768,2
24343,2
1737,2
20284,1
8320,2
16273,1
20416,1
23225,1
17167,2
22600,2
5759,1
16951,1
16447,1
12709,2
17882,2
5670,1
16724,2
10666,1
24322,1
22778,2
5823,1
24519,1
12653,1
8613,1
18847,2
10407,1
2927,2
19650,2
22168,1
10073,2
18676,2
15776,2
7992,2
18520,1
10673,1
15382,2
6522,2
6303,2
1770,2
14669,2
8898,1
3852,2
21439,2
5636,1
12495,2
20298,1
174,2
24716,1
436,2
18661,1
7334,2
8045,2
18496,2
10782,1
5988,1
4857,1
21270,2
324,1
21916,2
4189,2
23467,1
24520,1
4110,1
20738,1
19193,2
17838,2
6918,2
10516,2
22121,2
24459,1
15533,2
1069,2
7462,2
379,1
20011,2
20587,1
10570,1
1393,2
9657,2
9469,1
15525,1
9926,1
2518,1
1020,2
6844,1
8305,2
567,1
5694,2
9814,1
2660,2
13308,2
293,2
854,1
10375,2
16183,2
15449,1
21462,2
1783,2
2204,2
12272,1
19194,2
13137,2
7720,1
4374,1
16593,2
13884,1
5271,2
13168,2
17919,2
4153,1
22994,2
6878,2
7631,2
9090,1
13765,2
3499,2
19849,2
3883,2
18176,1
2213,1
13740,2
12113,2
5453,1
17944,1
11950,1
11939,1
12,2
6796,2
2432,1
22737,1
8053,1
13486,2
19068,1
22923,2
16568,2
6917,2
7036,2
15806,2
18900,1
1701,2
17711,2
17193,2
5376,1
21709,1
12521,1
19100,2
19101,2
15671,1
7587,1
11054,1
1889,1
18808,2
5806,2
10745,2
17291,1
124,1
9369,1
17283,2
16795,1
24266,1
18319,2
17745,2
5756,1
22655,1
20131,1
10122,1
2833,1
7620,1
16807,1
17312,2
13579,1
19864,2
5950,2
4990,1
3395,2
20695,2
11961,1
1656,2
21428,1
12604,2
1251,1
22181,2
7518,2
20884,2
20582,2
4631,2
16378,2
17341,1
19366,2
420,1
15295,2
19706,1
24048,1
2737,1
18577,1
10091,1
9781,1
23162,1
12027,1
12449,1
10911,1
18474,2
8663,2
2211,1
9826,1
9875,2
22231,1
7874,2
8971,2
3022,2
20146,1
5088,1
3079,1
14015,1
7570,2
20956,2
8494,1
1084,2
4081,2
18231,1
23052,1
22246,1
23394,1
11414,2
11422,1
22256,2
13370,1
24195,2
4201,2
10797,1
3935,2
9857,2
12763,2
16983,1
8437,1
14310,1
15028,1
14183,1
5243,2
11569,2
8375,2
10183,2
4133,2
19479,1
10067,2
7664,2
22177,2
5684,2
5850,1
22164,1
20588,2
7342,1
3795,1
5177,1
19095,2
9825,2
7066,2
18433,2
16319,2
18076,2
22492,1
5357,1
12386,1
12441,2
2118,2
19994,2
8061,2
16633,2
16739,1
4022,1
5910,1
24084,2
18072,1
16581,1
15246,1
7729,2
2415,2
12527,1
22851,1
12279,2
6664,2
17045,2
12468,1
8949,1
16512,2
23306,2
8756,1
15080,1
22736,2
22717,1
14415,2
23393,2
3640,2
5289,1
500,2
4271,2
19896,2
14488,1
8235,2
3774,2
24559,1
11501,2
5778,1
7318,1
5961,1
15072,2
21314,1
7153,1
325,2
3695,1
15372,1
4993,1
106,2
23186,2
15036,2
10760,1
7903,2
15554,2
1760,1
22483,2
23258,1
18918,2
21837,2
16082,1
16194,1
11269,1
20235,1
21984,2
6732,2
21884,1
15587,2
19796,2
11709,2
18183,1
15516,1
21958,1
13924,1
2622,2
8088,1
10419,1
21654,2
17833,1
17962,2
7381,2
20970,2
12330,1
7213,2
21890,1
21083,1
2343,2
12103,1
11892,1
4310,1
16159,1
11352,2
11315,1
13011,1
5352,1
11701,1
2001,2
22253,2
20863,1
6467,1
22310,2
17652,1
14583,1
3898,1
18614,1
20865,1
2431,1
15289,2
21098,2
355,1
13746,2
15153,2
18961,1
21707,2
1169,2
9173,1
517,2
8659,1
7399,1
8080,2
3988,2
22367,2
19764,2
20751,2
9119,1
5445,1
19669,1
16628,2
14136,1
17083,1
12415,2
10174,1
22052,2
22698,2
16971,2
20761,1
3977,2
11224,2
15768,2
11078,1
20004,1
21874,1
20218,2
7406,1
21982,1
13869,1
13306,1
5239,1
3238,1
7002,2
24191,2
7849,2
21580,1
19502,1
16970,2
11286,2
5225,2
15967,1
871,2
16280,1
20830,2
6438,1
20141,2
22423,2
21154,1
23180,2
15534,2
2493,2
23493,2
12520,2
7790,1
23635,2
11878,2
10778,1
4367,1
22380,2
12450,2
7115,1
15450,2
12344,2
23308,1
19976,1
8128,2
9447,1
21838,2
5591,1
14891,2
12233,1
13815,1
16251,1
17300,2
5293,1
18923,2
10052,2
18320,1
2647,2
7867,2
24013,2
3884,1
11650,2
16018,1
15925,2
14490,2
3176,1
15862,1
11603,2
9388,1
8474,2
4162,2
9837,2
23513,1
932,1
7369,1
22184,2
14086,1
22941,2
11951,1
2416,1
3210,2
24261,1
4326,2
19013,1
3500,1
16608,1
18312,1
21886,1
18130,2
19604,2
1043,2
16362,2
7091,1
23184,2
18851,2
18478,2
20037,1
23548,2
9795,2
21739,2
1839,2
14042,2
3325,2
18700,1
19106,2
4802,1
23160,1
1146,2
23086,2
18506,2
19349,1
7576,2
1568,1
12647,2
8984,2
16073,1
11385,2
18006,1
18513,1
17538,1
23931,1
16040,1
13689,1
21706,1
18604,2
2513,2
8941,1
10363,2
11615,1
24792,2
9114,1
4391,2
6547,2
8633,2
9423,2
889,1
24691,2
15462,1
9699,2
12570,1
24004,1
21228,1
11832,2
16891,1
15333,2
1817,2
17218,2
1514,2
9949,2
19940,2
18778,1
5937,1
22493,1
10816,1
18622,1
15435,2
10542,1
23790,2
6756,1
7848,1
23023,2
19332,1
17512,1
22853,2
21459,1
5129,2
1150,1
9306,2
8327,1
22346,1
184,1
19997,2
17840,2
7312,2
18912,1
22058,2
18938,1
7341,1
5885,2
6990,2
2520,2
5005,1
1385,1
7373,1
22640,1
18457,1
8960,2
13193,1
12704,1
17935,2
7275,1
17247,1
12055,2
15294,2
13793,1
23082,1
2355,2
7612,2
618,1
2306,1
11308,1
22255,2
20438,2
18139,1
11062,1
22574,2
10137,1
12880,2
12195,2
20277,1
1844,1
11429,1
23972,1
16217,2
1441,1
24047,2
19928,1
20885,1
6286,2
16105,2
23158,2
10453,1
167,1
11710,1
19935,1
2739,2
9133,1
14146,1
1205,2
15961,2
2994,1
15802,2
15971,2
14510,2
19719,1
10221,1
7451,2
24422,1
1682,2
20720,1
2210,2
14380,1
2007,1
6678,1
3291,1
867,1
23777,1
15256,1
11019,2
7345,1
7086,1
13493,2
4843,2
10198,2
555,1
7937,1
3230,2
22625,2
21715,1
11555,1
19220,1
10244,2
4096,1
85,1
4796,1
15583,2
16366,1
320,2
7316,1
18345,1
311,1
19153,2
805,1
11211,1
14235,2
15383,1
14600,1
15602,2
4256,2
22849,1
1242,1
6432,2
3112,2
15092,2
20025,1
7279,2
19641,2
10473,1
20842,1
11419,1
2724,2
10246,1
19631,1
6700,2
9622,2
15048,1
11806,2
8074,1
6052,2
22782,1
14527,2
1455,1
11281,1
19950,1
23458,2
12091,1
13076,2
24249,2
1306,1
12989,2
22836,1
5027,1
1487,2
23011,1
18041,1
12377,1
22617,1
8107,1
12328,2
22866,1
10971,2
15470,1
19931,1
5967,2
4106,1
10932,1
286,1
4226,2
2269,1
8377,2
23555,2
1057,1
17362,1
4967,1
2913,1
5951,2
2373,1
14670,2
9310,1
5842,2
3202,1
10233,1
16731,2
1609,1
21211,1
23359,1
2082,1
3773,1
24070,1
4829,1
10345,1
23647,1
7387,2
12322,2
14811,2
